"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"llLordSparkll","1","8","1","0","1","1","168.75708","1","1","4","4","byplayer","1","0","112.385506","9","1515","6310.178","2932.9734","3377.2046","-","1-llLordSparkll-vim_do_lite-koszz-Oboneco"
"vim_do_lite","1","1","4","0","1","0","473.21146","2","2","7","2","alive","0","0","290.24182","10","1559","6392.1599","3349.7634","3042.3965","-","1-llLordSparkll-vim_do_lite-koszz-Oboneco"
"koszz","1","2","3","0","1","1","330.4505","0","3","5","7","alive","2","0","313.02856","7","1559","5721.113","3129.041","2592.072","-","1-llLordSparkll-vim_do_lite-koszz-Oboneco"
"Oboneco","1","17","0","0","0","0","85.54527","1","0","3","5","byplayer","1","0","-","15","1192","1662.12448","393.10608","1269.0184","-","1-llLordSparkll-vim_do_lite-koszz-Oboneco"
"STRAT_FPS","2","6","2","0","2","1","273.34665","0","3","7","3","byplayer","0","0","11.995567","11","1483","7943.698","1897.703","6045.995","-","2-STRAT_FPS-AllbertWesker-MESTRE-MCS-Master_CTA"
"AllbertWesker","2","5","2","0","1","0","229.70538","0","1","2","8","byzone","0","0","283.04477","9","1552","7283.2354","1285.1631","5998.0723","-","2-STRAT_FPS-AllbertWesker-MESTRE-MCS-Master_CTA"
"MESTRE-MCS","2","18","0","0","0","0","264.88873","1","1","0","1","byplayer","1","0","-","10","1325","6895.22026","943.91266","5951.3076","-","2-STRAT_FPS-AllbertWesker-MESTRE-MCS-Master_CTA"
"Master_CTA","2","4","2","0","1","0","415.34714","1","2","6","9","byplayer","0","0","67.547775","12","1556","8460.4793","1584.6829","6875.7964","-","2-STRAT_FPS-AllbertWesker-MESTRE-MCS-Master_CTA"
"0_justiceiro","3","7","2","0","2","2","541.85223","1","1","4","2","byplayer","0","0","125.63807","13","1469","3663.5425","3663.5425","-","-","3-0_justiceiro-Alex-Lives-PIRATA_FPS-SargentoPE"
"Alex-Lives","3","19","0","0","0","0","125.449974","1","0","0","5","byplayer","0","0","-","10","1471","3317.7532","3317.7532","-","-","3-0_justiceiro-Alex-Lives-PIRATA_FPS-SargentoPE"
"PIRATA_FPS","3","10","1","0","1","0","154.6362","1","2","0","0","byzone","0","0","206.12946","11","1344","3781.0042","2500.5867","1280.4175","-","3-0_justiceiro-Alex-Lives-PIRATA_FPS-SargentoPE"
"SargentoPE","3","9","1","0","1","0","302.58105","0","1","4","6","byplayer","0","0","59.440792","9","1492","3348.099","3348.099","-","-","3-0_justiceiro-Alex-Lives-PIRATA_FPS-SargentoPE"
"AdriMau","4","3","3","0","1","1","284.28006","2","1","1","7","byplayer","0","0","108.180626","8","1323","1225.8098","1005.11","220.6998","-","4-AdriMau-Perobande-Perobinha-xJMaRcox"
"Perobande","4","11","1","0","1","0","333.77625","1","1","8","5","byplayer","0","0","172.44673","10","1392","1901.1256","1389.2227","511.9029","-","4-AdriMau-Perobande-Perobinha-xJMaRcox"
