"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Perobande","1","1","6","0","2","0","578.78656","2","4","5","9","alive","0","0","221.5539","13","1501","4732.7874","2258.2168","2474.5706","-","1-Perobande-Perobinha-AdriMau-xJMaRcox"
"Perobinha","1","2","5","0","1","1","453.38956","0","3","3","11","alive","1","0","178.90459","17","1501","4878.019","2682.122","2195.897","-","1-Perobande-Perobinha-AdriMau-xJMaRcox"
"AdriMau","1","7","1","0","1","0","235.04071","2","1","5","9","alive","2","0","18.8924","10","1501","4592.2116","1478.7595","3113.4521","-","1-Perobande-Perobinha-AdriMau-xJMaRcox"
"xJMaRcox","1","4","2","0","1","0","234.45114","3","1","8","7","alive","1","0","88.59515","8","1501","4584.3949","2649.5857","1934.8092","-","1-Perobande-Perobinha-AdriMau-xJMaRcox"
"CAPIVARA-CALVA","2","8","1","0","1","1","225.01085","0","0","0","8","byplayer","0","0","76.18729","8","1498","4153.3135","4153.3135","-","-","2-CAPIVARA-CALVA"
"Master_CTA","3","3","3","0","2","1","252.8073","2","3","1","3","byplayer","0","0","72.61811","11","959","717.03174","717.03174","-","-","3-Master_CTA-STRAT_FPS-MESTRE-MCS-AllbertWesker"
"STRAT_FPS","3","6","2","0","1","0","343.72275","3","3","0","5","byzone","0","0","307.70398","10","1453","4292.9206","1764.102","2528.8186","-","3-Master_CTA-STRAT_FPS-MESTRE-MCS-AllbertWesker"
"MESTRE-MCS","3","13","0","0","0","0","146.58545","0","0","1","1","byplayer","0","0","-","8","1334","5256.9826","1790.5973","3466.3853","-","3-Master_CTA-STRAT_FPS-MESTRE-MCS-AllbertWesker"
"AllbertWesker","3","5","2","0","2","1","339.71973","3","2","2","5","byplayer","0","0","13.465132","12","1475","4037.6988","2166.9573","1870.7415","-","3-Master_CTA-STRAT_FPS-MESTRE-MCS-AllbertWesker"
"nAsty-","4","10","1","0","1","0","100","0","1","0","0","byplayer","0","0","8.874369","9","631","1482.1403","1482.1403","-","-","4-nAsty--PrivacKadall-Spawnsbg-AnDreviZ"
"PrivacKadall","4","15","0","0","0","0","60.507023","0","0","0","2","byplayer","0","0","-","10","633","1509.3645","1509.3645","-","-","4-nAsty--PrivacKadall-Spawnsbg-AnDreviZ"
"Spawnsbg","4","14","0","0","0","0","99.99999","0","1","0","7","byplayer","0","0","-","6","1443","2463.67544","2257.9177","205.75774","-","4-nAsty--PrivacKadall-Spawnsbg-AnDreviZ"
"AnDreviZ","4","9","1","0","1","1","121.69869","1","0","2","4","byplayer","0","0","173.7737","13","1400","3817.2876","2746.2676","1071.02","-","4-nAsty--PrivacKadall-Spawnsbg-AnDreviZ"
"SargentoPE","5","16","0","0","0","0","138.77895","0","0","1","1","byplayer","0","0","-","7","1247","3042.4392","2769.4785","272.9607","-","5-SargentoPE-KaduzaoFPS-Alex-Lives-0_justiceiro"
"KaduzaoFPS","5","18","0","0","0","0","247.69316","0","1","0","1","byplayer","0","0","-","4","989","578.537","578.537","-","-","5-SargentoPE-KaduzaoFPS-Alex-Lives-0_justiceiro"
"Alex-Lives","5","17","0","0","0","0","140.25703","0","1","2","4","byplayer","0","0","-","7","1238","4557.9805","2420.001","2137.9795","-","5-SargentoPE-KaduzaoFPS-Alex-Lives-0_justiceiro"
"0_justiceiro","5","19","0","0","0","0","34.635323","0","0","0","0","byplayer","0","0","-","6","986","290.06763","290.06763","-","-","5-SargentoPE-KaduzaoFPS-Alex-Lives-0_justiceiro"
"Oboneco","6","22","0","0","0","0","50.4","1","0","2","8","byplayer","0","0","-","11","1301","6149.7361","1076.6716","5073.0645","-","6-Oboneco-vim_do_lite-koszz-llLordSparkll"
"vim_do_lite","6","20","0","0","0","0","75","2","1","1","4","byplayer","1","0","-","11","1303","6235.1924","1624.585","4610.6074","-","6-Oboneco-vim_do_lite-koszz-llLordSparkll"
"koszz","6","21","0","0","0","0","75.20997","0","0","0","4","byplayer","0","0","-","7","1303","5873.261","1672.5286","4200.7324","-","6-Oboneco-vim_do_lite-koszz-llLordSparkll"
"llLordSparkll","6","11","1","0","1","1","100","0","1","0","6","byplayer","0","0","89.21837","4","1265","6438.797","1678.6525","4760.1445","-","6-Oboneco-vim_do_lite-koszz-llLordSparkll"
"M4T4_BOI","7","24","0","0","0","0","119.99396","0","0","0","3","byplayer","0","0","-","9","994","759.8468","487.07864","272.76816","-","7-M4T4_BOI-MAGO12K-Ibuprofeno_800mg"
"MAGO12K","7","23","0","0","0","0","0","0","0","0","5","byplayer","0","0","-","7","1276","2747.3924","619.6004","2127.792","-","7-M4T4_BOI-MAGO12K-Ibuprofeno_800mg"
"Ibuprofeno_800mg","7","25","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","7","712","27.484114","27.484114","-","-","7-M4T4_BOI-MAGO12K-Ibuprofeno_800mg"
"XxWarlockLFxX","8","26","0","0","0","0","63.47486","0","0","0","7","byplayer","0","0","-","10","1006","4327.3705","1342.5297","2984.8408","-","8-XxWarlockLFxX-S33NT7-TEXAS3006"
"S33NT7","8","27","0","0","0","0","19.8","0","0","0","2","byplayer","0","0","-","9","1006","4439.7487","1474.2673","2965.4814","-","8-XxWarlockLFxX-S33NT7-TEXAS3006"
"TEXAS3006","8","28","0","0","0","0","21.78","0","0","0","5","byplayer","0","0","-","9","1006","4285.1127","1242.1107","3043.002","-","8-XxWarlockLFxX-S33NT7-TEXAS3006"
"teste","0","0","0","0","0","0","0","0","0","0","0","byplayer","0","0","0","0","0","0","0","0","8-XxWarlockLFxX-S33NT7-TEXAS3006-teste"
