"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"vim_do_lite","1","8","1","0","1","0","132.66011","1","1","6","2","byplayer","0","0","40.7451","7","1244","1584.8237","1584.8237","-","-","1-vim_do_lite-koszz-llLordSparkll-Oboneco"
"koszz","1","1","3","0","1","1","328.42603","1","2","12","8","alive","0","0","65.26154","6","1305","3744.8462","3744.8462","-","-","1-vim_do_lite-koszz-llLordSparkll-Oboneco"
"llLordSparkll","1","4","2","0","1","1","224.48633","0","0","7","6","alive","2","0","38.26187","10","1305","1828.8816","1828.8816","-","-","1-vim_do_lite-koszz-llLordSparkll-Oboneco"
"Oboneco","1","2","3","0","1","1","357.39407","1","3","18","6","alive","0","0","108.09322","10","1305","3865.6171","2436.0408","1429.5763","-","1-vim_do_lite-koszz-llLordSparkll-Oboneco"
"SargentoPE","2","15","0","0","0","0","81.80314","0","0","0","0","byplayer","0","0","-","10","1302","4220.9946","4220.9946","-","-","2-SargentoPE-KaduzaoFPS-0_justiceiro-Alex-Lives"
"KaduzaoFPS","2","9","1","0","1","0","100","0","1","0","1","byplayer","0","0","6.452088","8","1285","4273.4995","4273.4995","-","-","2-SargentoPE-KaduzaoFPS-0_justiceiro-Alex-Lives"
"0_justiceiro","2","5","2","0","1","1","236.9896","1","2","3","2","byplayer","0","0","93.891205","7","1302","4126.5833","3914.2266","212.3567","-","2-SargentoPE-KaduzaoFPS-0_justiceiro-Alex-Lives"
"Alex-Lives","2","3","3","0","1","2","236.05515","0","2","0","3","byplayer","0","0","158.81985","9","1269","4212.05626","3621.0244","591.03186","-","2-SargentoPE-KaduzaoFPS-0_justiceiro-Alex-Lives"
"nAsty-","3","6","2","0","1","1","200.97736","0","2","1","5","byplayer","0","0","83.893166","7","1224","2920.1887","2920.1887","-","-","3-nAsty--Spawnsbg-AnDreviZ-PrivacKadall"
"Spawnsbg","3","16","0","0","0","0","0","0","0","1","0","byplayer","0","0","-","9","1224","2476.8362","2476.8362","-","-","3-nAsty--Spawnsbg-AnDreviZ-PrivacKadall"
"AnDreviZ","3","17","0","0","0","0","22.798882","0","0","0","2","byplayer","0","0","-","10","1200","2867.0571","2867.0571","-","-","3-nAsty--Spawnsbg-AnDreviZ-PrivacKadall"
"PrivacKadall","3","18","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","15","1040","2731.3606","2731.3606","-","-","3-nAsty--Spawnsbg-AnDreviZ-PrivacKadall"
"XxWarlockLFxX","4","11","1","0","1","0","265.11774","1","1","1","8","byzone","0","0","81.29235","11","1194","1416.3939","1416.3939","-","-","4-XxWarlockLFxX-S33NT7-TEXAS3006"
"S33NT7","4","19","0","0","0","0","0","0","0","0","2","byzone","0","0","-","12","1104","1212.1255","1212.1255","-","-","4-XxWarlockLFxX-S33NT7-TEXAS3006"
"TEXAS3006","4","10","1","0","1","0","75.70573","0","0","2","4","byplayer","1","0","4.0179267","5","1195","1276.5107","1276.5107","-","-","4-XxWarlockLFxX-S33NT7-TEXAS3006"
"Jinx-s2","5","21","0","0","0","0","171.30914","0","1","0","1","byplayer","0","0","-","9","1131","1137.171","1137.171","-","-","5-Jinx-s2-Perobinha-xJMaRcox-Perobande"
"Perobinha","5","22","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","9","783","734.6323","734.6323","-","-","5-Jinx-s2-Perobinha-xJMaRcox-Perobande"
"xJMaRcox","5","20","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","12","1131","1179.7354","1179.7354","-","-","5-Jinx-s2-Perobinha-xJMaRcox-Perobande"
"Perobande","5","12","1","0","1","0","100","0","1","3","2","byplayer","0","0","124.8677","8","1091","1317.7898","1317.7898","-","-","5-Jinx-s2-Perobinha-xJMaRcox-Perobande"
"AllbertWesker","6","24","0","0","0","0","80.51964","0","0","4","3","byzone","1","0","-","11","1005","2976.4845","1882.7177","1093.7668","-","6-AllbertWesker-STRAT_FPS-MESTRE-MCS-Master_CTA"
"STRAT_FPS","6","23","0","0","0","0","156.60489","0","0","6","4","byplayer","0","0","-","11","1120","3142.9272","2310.5325","832.3947","-","6-AllbertWesker-STRAT_FPS-MESTRE-MCS-Master_CTA"
"MESTRE-MCS","6","13","1","0","1","0","179.73672","0","1","7","2","byplayer","0","0","100.45449","9","1120","3358.9598","2516.373","842.5868","-","6-AllbertWesker-STRAT_FPS-MESTRE-MCS-Master_CTA"
"Master_CTA","6","7","2","0","1","1","341.2557","1","2","7","6","byplayer","0","0","19.659645","8","1120","3614.0123","2369.3896","1244.6227","-","6-AllbertWesker-STRAT_FPS-MESTRE-MCS-Master_CTA"
"Ibuprofeno_800mg","7","26","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","9","745","1527.0916","1527.0916","-","-","7-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
"M4T4_BOI","7","25","0","0","0","0","98.96123","0","1","1","2","byplayer","0","0","-","10","865","1803.635","1392.0911","411.5439","-","7-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
"MAGO12K","7","27","0","0","0","0","139.74226","0","0","0","2","byplayer","0","0","-","8","725","1665.5693","1665.5693","-","-","7-Ibuprofeno_800mg-M4T4_BOI-MAGO12K"
