"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"oandrezinhu","1","2","7","0","4","3","703.44867","2","3","1","10","byplayer","3","0","110.60267","14","1319","7887.4116","1209.6746","6677.737","-","1-oandrezinhu-prismax1809-NooobSAIBOOT"
"prismax1809","1","4","4","0","2","3","571.98535","3","1","5","10","alive","1","0","126.69298","12","1448","7781.698","1286.3923","6495.3057","-","1-oandrezinhu-prismax1809-NooobSAIBOOT"
"NooobSAIBOOT","1","1","11","0","3","1","1264.1075","0","10","5","10","byplayer","0","0","241.99979","21","1340","8177.0046","1043.5676","7133.437","-","1-oandrezinhu-prismax1809-NooobSAIBOOT"
"tchunay","2","43","0","0","0","0","58.25668","1","0","6","10","byplayer","2","0","-","10","1444","4291.5049","2451.0625","1840.4424","-","2-tchunay-INDIO-14-xShur4-Masoquista69"
"INDIO-14","2","25","1","0","1","0","126.602486","0","1","3","6","byplayer","0","0","59.546577","9","1445","9628.0204","1905.1694","7722.851","-","2-tchunay-INDIO-14-xShur4-Masoquista69"
"xShur4","2","13","2","0","1","1","319.65152","1","2","4","4","byplayer","0","0","22.831352","6","1426","8652.8337","2186.3474","6466.4863","-","2-tchunay-INDIO-14-xShur4-Masoquista69"
"Masoquista69","2","26","1","0","1","1","149.73921","1","0","7","4","byplayer","1","0","12.605604","13","1444","8960.0343","2296.4333","6663.601","-","2-tchunay-INDIO-14-xShur4-Masoquista69"
"OnLineee-","3","15","2","0","1","0","225.40369","1","0","9","4","byzone","0","0","64.95948","10","1193","3555.716205","3503.742","-","51.974205","3-OnLineee--Jhefis-LuscasCT"
"Jhefis","3","5","4","0","2","3","482.0985","1","1","14","3","byzone","0","0","84.09183","8","1342","4599.162665","3971.2554","583.341","44.566265","3-OnLineee--Jhefis-LuscasCT"
"LuscasCT","3","14","2","0","1","2","141.0266","0","2","13","4","byzone","0","0","83.06199","5","1206","3891.560836","3844.3157","-","47.245136","3-OnLineee--Jhefis-LuscasCT"
"bruniNNNNNNNNN","4","6","4","0","1","2","429.37408","2","4","6","4","byplayer","2","0","47.546356","17","1017","1991.76254","707.25494","1284.5076","-","4-bruniNNNNNNNNN-IKayc-Rogito22x"
"IKayc","4","17","2","0","1","0","464.46854","2","1","12","9","byplayer","1","0","266.9166","8","1241","4685.0666","1385.1556","3299.911","-","4-bruniNNNNNNNNN-IKayc-Rogito22x"
"Rogito22x","4","16","2","0","1","1","385.33096","0","4","13","5","byplayer","1","0","11.008489","7","1241","4440.7396","1125.6226","3315.117","-","4-bruniNNNNNNNNN-IKayc-Rogito22x"
"caneca_de_bolo","5","44","0","0","0","0","71.49432","0","0","3","2","byplayer","0","0","-","7","1104","5055.764","2793.2415","2262.5225","-","5-caneca_de_bolo-BigJonezz-Nam015-zerr-s"
"BigJonezz","5","27","1","0","1","0","83.89038","0","1","2","5","byplayer","0","0","63.892773","7","1093","5234.843","2700.4844","2534.3586","-","5-caneca_de_bolo-BigJonezz-Nam015-zerr-s"
"zerr-s","5","45","0","0","0","0","25.199999","0","0","9","6","byplayer","0","0","-","15","1090","4794.4616","2449.3342","2345.1274","-","5-caneca_de_bolo-BigJonezz-Nam015-zerr-s"
"snowmjghg3","6","46","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","6","1074","4780.31117","2585.4497","2149.02","45.84147","6-snowmjghg3-zWill_BR-Ovverkill"
"Dod0_e","7","19","2","0","2","1","155.74","2","1","1","1","byplayer","1","0","29.793602","11","740","2453.8083701","807.37866","1644.3276","2.1021101","7-Dod0_e-Chicao2-Eduardo-pro"
"Chicao2","7","18","2","0","1","2","366.78","3","3","3","5","byplayer","0","0","118.392975","8","895","2563.5293","914.7871","1648.7422","-","7-Dod0_e-Chicao2-Eduardo-pro"
"Eduardo-pro","7","7","4","0","2","2","518.42566","1","3","11","5","byplayer","0","0","40.62469","8","895","2649.6894","966.6877","1683.0017","-","7-Dod0_e-Chicao2-Eduardo-pro"
"ZAMZITA","8","47","0","0","0","0","192.1741","2","1","6","6","byplayer","0","1","-","7","859","4746.4238","1485.415","3261.0088","-","8-ZAMZITA-Militia10-MYL0_-LZ-SADIC"
"Militia10","8","8","4","0","3","0","434.48837","1","2","0","3","byplayer","2","0","27.861696","7","875","4075.3731","1424.1377","2651.2354","-","8-ZAMZITA-Militia10-MYL0_-LZ-SADIC"
"MYL0_","8","11","3","0","3","0","503.02643","2","4","1","3","byplayer","0","0","39.728184","5","890","4395.8854","1804.4457","2591.4397","-","8-ZAMZITA-Militia10-MYL0_-LZ-SADIC"
"LZ-SADIC","8","9","4","0","2","1","754.5258","2","6","4","4","byplayer","0","0","51.632153","7","859","4108.9671","1075.1456","3033.8215","-","8-ZAMZITA-Militia10-MYL0_-LZ-SADIC"
"Campeon1205","9","48","0","0","0","0","0","0","0","0","1","byplayer","0","0","-","11","751","2394.08087","995.02057","1399.0603","-","10-MrChicken76-HomeroSimpsons-forzedios-Campeon1205"
"dnL1_","10","3","5","0","2","3","675.1987","0","3","4","4","byplayer","0","0","61.06288","11","748","2146.76446","715.34576","1431.4187","-","10-dnL1_"
"MrChicken76","10","49","0","0","0","0","0","0","0","5","3","byplayer","0","0","-","6","765","2464.401978","947.10956","1487.7032","29.589218","10-MrChicken76-HomeroSimpsons-forzedios-Campeon1205"
"forzedios","10","50","0","0","0","0","228.86813","1","1","1","1","byplayer","0","0","-","11","737","2498.5254","1055.3606","1443.1648","-","10-MrChicken76-HomeroSimpsons-forzedios-Campeon1205"
"Nam015","11","51","0","0","0","0","0","0","0","0","0","byzone","0","0","-","3","771","783.15584","685.0775","-","98.07834","5-caneca_de_bolo-BigJonezz-Nam015-zerr-s"
"K4n45h1r0","11","52","0","0","0","0","0","0","0","3","2","byplayer","1","0","-","7","723","2010.2775","1357.9469","652.3306","-","11-K4n45h1r0-chimperoPK-CNQ_BIRD-Ilhawk"
"chimperoPK","11","54","0","0","0","0","15.93976","0","0","2","2","byplayer","1","0","-","10","723","1875.31697","1398.924","476.39297","-","11-K4n45h1r0-chimperoPK-CNQ_BIRD-Ilhawk"
"CNQ_BIRD","11","53","0","0","0","0","0","0","0","1","4","byplayer","0","0","-","8","723","4110.56515","968.99615","3141.569","-","11-K4n45h1r0-chimperoPK-CNQ_BIRD-Ilhawk"
"Ilhawk","11","55","0","0","0","0","110.43001","0","0","2","1","byplayer","0","0","-","3","723","5178.5839","699.4149","4479.169","-","11-K4n45h1r0-chimperoPK-CNQ_BIRD-Ilhawk"
"HomeroSimpsons","11","56","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","10","686","1959.9089","832.5394","1127.3695","-","10-MrChicken76-HomeroSimpsons-forzedios-Campeon1205"
